# Int_pr, E_atm_pr, Intstor_pr, R_pr_meas, R_pr_swds, R_pr_mss, R_pr_up, Intcp_cp, E_atm_cp, Intstor_cp, R_cp_meas, R_cp_swds, R_cp_mss, R_cp_up, Intcp_op, E_atm_op, Intstor_op, P_op_gw, R_op_meas, R_op_swds, R_op_mss, R_op_up, Sum_r_up, Init_stor_up, Act_infilcap_up, Tfac_up, E_atm_up, I_up_uz, Fin_stor_up, R_up_meas, R_up_ow, Sum_i_uz, R_meas_uz, Theta_h3_uz, T_alpha_uz, T_atm_uz, Gwl_up_uz, Gwl_low_uz, Theta_eq_uz, Capris_max_uz, P_uz_gw, Theta_uz, Sum_p_gw, R_meas_gw, Sc_gw, H_gw, S_gw_out, D_gw_ow, Gwl, Gwl_sl, Sum_r_swds, R_meas_swds, Sum_r_mss, R_meas_mss, Q_swds_ow, Q_mss_out, Q_mss_ow, So_swds, So_mss, Stor_swds, Stor_mss, Prec_ow, E_atm_ow, Sum_r_ow, Sum_d_ow, Sum_q_ow, Sum_so_ow, R_meas_ow, Q_ow_out, Owl
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.8564793,1.523344748,-0.063472698,192.5483818,-0.053452745,0,0.206869717,1.508891637,0.041666667,-0.054889895,1.508891637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.489345824,0,0,0,-0.044680375,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.8510342,1.522949978,-0.063456249,192.611838,-0.053438893,0,0.206889164,1.509085692,0.041666667,-0.054957563,1.509085692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.491181866,0,0,0,-0.044735456,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.8456006,1.522556045,-0.063439835,192.6752779,-0.05342507,0,0.206908569,1.509279336,0.041666667,-0.055025087,1.509279336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.493014017,0,0,0,-0.044790421,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.8401786,1.522162947,-0.063423456,192.7387013,-0.053411277,0,0.206927934,1.50947257,0.041666667,-0.055092467,1.50947257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.494842284,0,0,0,-0.044845269,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.834768,1.521770683,-0.063407112,192.8021084,-0.053397512,0,0.206947257,1.509665395,0.041666667,-0.055159706,1.509665395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.496666677,0,0,0,-0.0449,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.829369,1.521379249,-0.063390802,192.8654993,-0.053383777,0,0.206966539,1.50985781,0.041666667,-0.055226801,1.50985781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.498487204,0,0,0,-0.044954616,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.8239813,1.520988645,-0.063374527,192.9288738,-0.053370071,0,0.206985781,1.510049819,0.041666667,-0.055293755,1.510049819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.500303875,0,0,0,-0.045009116,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.8186051,1.520598868,-0.063358286,192.9922321,-0.053356395,0,0.207004982,1.51024142,0.041666667,-0.055360566,1.51024142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.502116699,0,0,0,-0.045063501,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.8132402,1.520209917,-0.06334208,193.0555741,-0.053342747,0,0.207024142,1.510432616,0.041666667,-0.055427236,1.510432616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.503925683,0,0,0,-0.045117771,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.8078867,1.519821789,-0.063325908,193.1189001,-0.053329128,0,0.207043262,1.510623407,0.041666667,-0.055493766,1.510623407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.505730838,0,0,0,-0.045171925,1.5
