date,P_atm,E_pot_OW,Ref.grass
19/01/1990 01:00,0,0,0
19/01/1990 02:00,0,0,0
19/01/1990 03:00,0,0,0
19/01/1990 04:00,0,0,0
19/01/1990 05:00,0,0,0
19/01/1990 06:00,0,0,0
19/01/1990 07:00,0,0,0
19/01/1990 08:00,0,0,0
19/01/1990 09:00,0,0.059758555,0.053673099
19/01/1990 10:00,0,0,0
19/01/1990 11:00,0,0,0
19/01/1990 12:00,0,0.050193908,0.045082459
19/01/1990 13:00,0,0,0
19/01/1990 14:00,0,0,0
19/01/1990 15:00,0,0.028744817,0.025817616
19/01/1990 16:00,0,0,0
19/01/1990 17:00,0,0,0
19/01/1990 18:00,0,0,0
19/01/1990 19:00,0,0,0
19/01/1990 20:00,0,0,0
19/01/1990 21:00,0,0,0
19/01/1990 22:00,0,0,0
19/01/1990 23:00,0,0,0
20/01/1990 00:00,0,0,0
20/01/1990 01:00,0,0,0
20/01/1990 02:00,0,0,0
20/01/1990 03:00,0,0,0
20/01/1990 04:00,0,0,0
20/01/1990 05:00,0,0,0
20/01/1990 06:00,0,0,0
20/01/1990 07:00,0,0,0
20/01/1990 08:00,0,0,0
20/01/1990 09:00,0,0.12721624,0.114261294
20/01/1990 10:00,0,0,0
20/01/1990 11:00,0,0,0
20/01/1990 12:00,0,0.296281198,0.266109682
20/01/1990 13:00,0,0,0
20/01/1990 14:00,0,0,0
20/01/1990 15:00,0,0.14798526,0.132915321
20/01/1990 16:00,0,0,0
20/01/1990 17:00,0,0,0
20/01/1990 18:00,0,0,0
20/01/1990 19:00,0,0,0
20/01/1990 20:00,0,0,0
20/01/1990 21:00,0,0,0
20/01/1990 22:00,0,0,0
20/01/1990 23:00,0,0,0
21/01/1990 00:00,0,0,0
21/01/1990 01:00,0,0,0
21/01/1990 02:00,0,0,0
21/01/1990 03:00,0,0,0
21/01/1990 04:00,0,0,0
21/01/1990 05:00,0,0,0
21/01/1990 06:00,0,0,0
21/01/1990 07:00,0,0,0
21/01/1990 08:00,0,0,0
21/01/1990 09:00,0,0.073971932,0.06643907
21/01/1990 10:00,0,0,0
21/01/1990 11:00,0,0,0
21/01/1990 12:00,0,0.14763366,0.132599526
21/01/1990 13:00,0,0,0
21/01/1990 14:00,0,0,0
21/01/1990 15:00,0,0.070095305,0.062957216
21/01/1990 16:00,0,0,0
21/01/1990 17:00,0,0,0
21/01/1990 18:00,0,0,0
21/01/1990 19:00,0,0,0
21/01/1990 20:00,0,0,0
21/01/1990 21:00,0,0,0
21/01/1990 22:00,0,0,0
21/01/1990 23:00,0,0,0
22/01/1990 00:00,0,0,0
22/01/1990 01:00,0,0,0
22/01/1990 02:00,0,0,0
22/01/1990 03:00,0,0,0
22/01/1990 04:00,0,0,0
22/01/1990 05:00,0,0,0
22/01/1990 06:00,0,0,0
22/01/1990 07:00,0,0,0
22/01/1990 08:00,0,0,0
22/01/1990 09:00,0,0.133482633,0.119889555
22/01/1990 10:00,0,0,0
22/01/1990 11:00,0,0,0
22/01/1990 12:00,0,0.088143869,0.079167821
22/01/1990 13:00,0,0,0
22/01/1990 14:00,0,0,0
22/01/1990 15:00,0,0.081539764,0.073236239
22/01/1990 16:00,0,0,0
22/01/1990 17:00,0,0,0
22/01/1990 18:00,0,0,0
22/01/1990 19:00,0.5,0,0
22/01/1990 20:00,0,0,0
22/01/1990 21:00,0,0,0
22/01/1990 22:00,0,0,0
22/01/1990 23:00,0,0,0
23/01/1990 00:00,0,0,0
23/01/1990 01:00,0,0,0
23/01/1990 02:00,0,0,0
23/01/1990 03:00,0,0,0
23/01/1990 04:00,0,0,0
23/01/1990 05:00,0,0,0
23/01/1990 06:00,0,0,0
23/01/1990 07:00,0,0,0
23/01/1990 08:00,0,0,0
23/01/1990 09:00,0,0.052630419,0.04727085
23/01/1990 10:00,0,0,0
23/01/1990 11:00,0,0,0
23/01/1990 12:00,0,0.15324429,0.137638803
23/01/1990 13:00,0,0,0
23/01/1990 14:00,0,0,0
23/01/1990 15:00,0,0.084432982,0.075834829
23/01/1990 16:00,0,0,0
23/01/1990 17:00,0,0,0
23/01/1990 18:00,0,0,0
23/01/1990 19:00,0,0,0
23/01/1990 20:00,0,0,0
23/01/1990 21:00,0,0,0
23/01/1990 22:00,0,0,0
23/01/1990 23:00,0,0,0
24/01/1990 00:00,0,0,0
24/01/1990 01:00,0,0,0
24/01/1990 02:00,0,0,0
24/01/1990 03:00,0,0,0
24/01/1990 04:00,0,0,0
24/01/1990 05:00,0,0,0
24/01/1990 06:00,0,0,0
24/01/1990 07:00,0,0,0
24/01/1990 08:00,0,0,0
24/01/1990 09:00,0,0.060057087,0.05394123
24/01/1990 10:00,0,0,0
24/01/1990 11:00,0,0,0
24/01/1990 12:00,0,0.175982962,0.158061903
24/01/1990 13:00,0,0,0
24/01/1990 14:00,0,0,0
24/01/1990 15:00,0,0.158663934,0.142506542
24/01/1990 16:00,0,0,0
24/01/1990 17:00,0,0,0
24/01/1990 18:00,0,0,0
24/01/1990 19:00,0,0,0
24/01/1990 20:00,1.5,0,0
24/01/1990 21:00,0.5,0,0
24/01/1990 22:00,0,0,0
24/01/1990 23:00,0.5,0,0
25/01/1990 00:00,0.5,0,0
25/01/1990 01:00,0,0,0
25/01/1990 02:00,0,0,0
25/01/1990 03:00,0,0,0
25/01/1990 04:00,0,0,0
25/01/1990 05:00,0,0,0
25/01/1990 06:00,0,0,0
25/01/1990 07:00,0,0,0
25/01/1990 08:00,0,0,0
25/01/1990 09:00,0,0.151809151,0.13634981
25/01/1990 10:00,0,0,0
25/01/1990 11:00,0,0,0
25/01/1990 12:00,0,0.32506314,0.291960642
25/01/1990 13:00,0,0,0
25/01/1990 14:00,0,0,0
25/01/1990 15:00,0,0.092594163,0.083164924
25/01/1990 16:00,0,0,0
25/01/1990 17:00,0,0,0
25/01/1990 18:00,0,0,0
25/01/1990 19:00,0,0,0
25/01/1990 20:00,0,0,0
25/01/1990 21:00,0,0,0
25/01/1990 22:00,0,0,0
25/01/1990 23:00,0,0,0
26/01/1990 00:00,0,0,0
26/01/1990 01:00,0,0,0
26/01/1990 02:00,0,0,0
26/01/1990 03:00,0,0,0
26/01/1990 04:00,0,0,0
26/01/1990 05:00,0,0,0
26/01/1990 06:00,0,0,0
26/01/1990 07:00,0,0,0
26/01/1990 08:00,0,0,0
26/01/1990 09:00,0,0.152957154,0.137380907
26/01/1990 10:00,0,0,0
26/01/1990 11:00,0,0,0
26/01/1990 12:00,0,0.324080391,0.291077971
26/01/1990 13:00,0,0,0
26/01/1990 14:00,0,0,0
26/01/1990 15:00,0,0.194650502,0.174828452
26/01/1990 16:00,0,0,0
26/01/1990 17:00,0,0,0
26/01/1990 18:00,0,0,0
26/01/1990 19:00,0,0,0
26/01/1990 20:00,0,0,0
26/01/1990 21:00,0,0,0
26/01/1990 22:00,0,0,0
26/01/1990 23:00,0,0,0
27/01/1990 00:00,0,0,0
27/01/1990 01:00,0,0,0
27/01/1990 02:00,0,0,0
27/01/1990 03:00,0,0,0
27/01/1990 04:00,0,0,0
27/01/1990 05:00,0,0,0
27/01/1990 06:00,0,0,0
27/01/1990 07:00,0,0,0
27/01/1990 08:00,0,0,0
27/01/1990 09:00,0,0.124644236,0.111951208
27/01/1990 10:00,0,0,0
27/01/1990 11:00,0,0,0
27/01/1990 12:00,0,0.276536441,0.248375614
27/01/1990 13:00,0,0,0
27/01/1990 14:00,0,0,0
27/01/1990 15:00,0,0.128257278,0.115196319
27/01/1990 16:00,0,0,0
27/01/1990 17:00,0,0,0
27/01/1990 18:00,0,0,0
27/01/1990 19:00,0,0,0
27/01/1990 20:00,0,0,0
27/01/1990 21:00,0,0,0
27/01/1990 22:00,0,0,0
27/01/1990 23:00,0,0,0
28/01/1990 00:00,0,0,0
28/01/1990 01:00,0,0,0
28/01/1990 02:00,0,0,0
28/01/1990 03:00,0,0,0
28/01/1990 04:00,0,0,0
28/01/1990 05:00,0,0,0
28/01/1990 06:00,0,0,0
28/01/1990 07:00,0,0,0
28/01/1990 08:00,0,0,0
28/01/1990 09:00,0,0.15612196,0.140223428
28/01/1990 10:00,0,0,0
28/01/1990 11:00,0,0,0
28/01/1990 12:00,0,0.307068232,0.275798229
28/01/1990 13:00,0,0,0
28/01/1990 14:00,0,0,0
28/01/1990 15:00,0,0.185776281,0.166857929
28/01/1990 16:00,0,0,0
28/01/1990 17:00,0,0,0
28/01/1990 18:00,0,0,0
28/01/1990 19:00,0,0,0
28/01/1990 20:00,0,0,0
28/01/1990 21:00,0,0,0
28/01/1990 22:00,0,0,0
28/01/1990 23:00,0,0,0
29/01/1990 00:00,0,0,0
29/01/1990 01:00,0,0,0
29/01/1990 02:00,0,0,0
29/01/1990 03:00,0,0,0
29/01/1990 04:00,0,0,0
29/01/1990 05:00,0,0,0
29/01/1990 06:00,0,0,0
29/01/1990 07:00,0,0,0
29/01/1990 08:00,0,0,0
29/01/1990 09:00,0,0.050585007,0.045433731
29/01/1990 10:00,0,0,0
29/01/1990 11:00,0,0,0
29/01/1990 12:00,0,0.054493059,0.04894381
29/01/1990 13:00,0,0,0
29/01/1990 14:00,0,0,0
29/01/1990 15:00,0.5,0.047213461,0.042405523
29/01/1990 16:00,0.5,0,0
29/01/1990 17:00,0.5,0,0
29/01/1990 18:00,0,0,0
29/01/1990 19:00,0,0,0
29/01/1990 20:00,0,0,0
29/01/1990 21:00,0,0,0
29/01/1990 22:00,0,0,0
29/01/1990 23:00,0,0,0
30/01/1990 00:00,0,0,0
30/01/1990 01:00,0,0,0
30/01/1990 02:00,0,0,0
30/01/1990 03:00,0,0,0
30/01/1990 04:00,0,0,0
30/01/1990 05:00,0,0,0
30/01/1990 06:00,0,0,0
30/01/1990 07:00,0,0,0
30/01/1990 08:00,0,0,0
30/01/1990 09:00,0,0.129148214,0.115996528
30/01/1990 10:00,0,0,0
30/01/1990 11:00,0,0,0
30/01/1990 12:00,0,0.245134961,0.220171874
30/01/1990 13:00,0,0,0
30/01/1990 14:00,0,0,0
30/01/1990 15:00,0,0.181170257,0.162720955
30/01/1990 16:00,0,0,0
30/01/1990 17:00,0,0,0
30/01/1990 18:00,0,0,0
30/01/1990 19:00,0,0,0
30/01/1990 20:00,0,0,0
30/01/1990 21:00,0,0,0
30/01/1990 22:00,0,0,0
30/01/1990 23:00,0,0,0
31/01/1990 00:00,0,0,0
31/01/1990 01:00,0,0,0
31/01/1990 02:00,0,0,0
31/01/1990 03:00,0,0,0
31/01/1990 04:00,0,0,0
31/01/1990 05:00,0,0,0
31/01/1990 06:00,0,0,0
31/01/1990 07:00,0,0,0
31/01/1990 08:00,0,0,0
31/01/1990 09:00,0,0.071796442,0.064485119
31/01/1990 10:00,0,0,0
31/01/1990 11:00,0,0,0
31/01/1990 12:00,0,0.210752619,0.189290825
31/01/1990 13:00,0,0,0
31/01/1990 14:00,0,0,0
31/01/1990 15:00,0,0.18732386,0.168247912
31/01/1990 16:00,0,0,0
31/01/1990 17:00,0,0,0
31/01/1990 18:00,0,0,0
31/01/1990 19:00,0,0,0
31/01/1990 20:00,0,0,0
31/01/1990 21:00,0,0,0
31/01/1990 22:00,0,0,0
31/01/1990 23:00,0,0,0
1/2/1990 0:00,0,0,0
1/2/1990 1:00,0,0,0
1/2/1990 2:00,0,0,0
1/2/1990 3:00,0,0,0
1/2/1990 4:00,0,0,0
1/2/1990 5:00,0,0,0
1/2/1990 6:00,0,0,0
1/2/1990 7:00,0,0,0
1/2/1990 8:00,0.5,0,0
1/2/1990 9:00,0,0.03174103,0.028508712
1/2/1990 10:00,0.5,0,0
1/2/1990 11:00,0,0,0
1/2/1990 12:00,0,0.127889954,0.114866401
1/2/1990 13:00,0,0,0
1/2/1990 14:00,0,0,0
1/2/1990 15:00,0,0.101044793,0.090754992
1/2/1990 16:00,0,0,0
1/2/1990 17:00,0.5,0,0
1/2/1990 18:00,0,0,0
1/2/1990 19:00,0,0,0
1/2/1990 20:00,0,0,0
1/2/1990 21:00,0,0,0
1/2/1990 22:00,0,0,0
1/2/1990 23:00,0,0,0
2/2/1990 0:00,0,0,0
