theta_rz_0,theta_rz_1,theta_rz_2,theta_rz_3,theta_rz_4,theta_rz_5,theta_rz_6,theta_rz_7,theta_rz_8,theta_rz_9
193.3880189,193.3513416,193.3880189,193.2658741,193.3919189,172.1453642,28.95104614,193.404594,193.2658741,193.3880189
193.3838708,193.3472689,193.3838708,193.2619767,193.3877628,172.1428681,28.94841974,193.4004118,193.2619767,193.3838708
193.3797313,193.3432045,193.3797313,193.2580874,193.3836152,172.1403796,28.94579856,193.3962382,193.2580874,193.3797313
193.3756002,193.3391485,193.3756002,193.254206,193.3794761,172.1378987,28.94318258,193.3920731,193.254206,193.3756002
193.3714776,193.3351009,193.3714776,193.2503325,193.3753456,172.1354254,28.94057179,193.3879167,193.2503325,193.3714776
193.2998727,193.2633863,193.2998727,193.1783624,193.3037523,172.0382543,28.84380009,193.3163613,193.1783624,193.2998727
193.2282544,193.1916585,193.2282544,193.1063796,193.2321456,171.9410724,28.74701318,193.2447925,193.1063796,193.2282544
193.1566228,193.1199177,193.1566228,193.0343843,193.1605257,171.8438798,28.65021108,193.1732102,193.0343843,193.1566228
193.0849779,193.0481639,193.0849779,192.9623765,193.0888924,171.7466765,28.55339381,193.1016146,192.9623765,193.0849779
193.0133198,192.976397,193.0133198,192.8903562,193.0172458,171.6494625,28.45656142,193.0300056,192.8903562,193.0133198
192.9416484,192.9046171,192.9416484,192.8183234,192.9455859,171.5522379,28.35971393,192.9583833,192.8183234,192.9416484
192.8699638,192.8328242,192.8699638,192.7462782,192.8739129,171.4550027,28.26285138,192.8867476,192.7462782,192.8699638
192.7982661,192.7610184,192.7982661,192.6742205,192.8022266,171.3577569,28.16597378,192.8150987,192.6742205,192.7982661
192.7265552,192.6891996,192.7265552,192.6021504,192.7305272,171.2605006,28.06908118,192.7434366,192.6021504,192.7265552
192.6548312,192.617368,192.6548312,192.530068,192.6588146,171.1632338,27.9721736,192.6717612,192.530068,192.6548312
192.6788407,192.6412702,192.6788407,192.5537198,192.6828356,171.1617031,27.97099775,192.6958193,192.5537198,192.6788407
192.7406905,192.7030128,192.7406905,192.6152127,192.7446968,171.1980154,28.00766031,192.7577175,192.6152127,192.7406905
192.8025273,192.7647426,192.8025273,192.6766933,192.806545,171.2343173,28.04430799,192.8196027,192.6766933,192.8025273
192.8643511,192.8264597,192.8643511,192.7381616,192.8683801,171.2706087,28.08094081,192.8814747,192.7381616,192.8643511
192.9261619,192.888164,192.9261619,192.7996177,192.9302022,171.3068899,28.1175588,192.9433336,192.7996177,192.9261619
192.9879597,192.9498555,192.9879597,192.8610615,192.9920113,171.3431607,28.154162,193.0051794,192.8610615,192.9879597
193.0497446,193.0115343,193.0497446,192.9224932,193.0538075,171.3794212,28.19075042,193.0670123,192.9224932,193.0497446
193.1115166,193.0732005,193.1115166,192.9839127,193.1155908,171.4156715,28.22732411,193.1288321,192.9839127,193.1115166
193.1732757,193.134854,193.1732757,193.04532,193.1773611,171.4519115,28.26388309,193.1906389,193.04532,193.1732757
193.2849714,193.2500782,193.2849714,193.1067152,193.2886815,171.7421414,28.55442739,193.3007395,193.1067152,193.2849714
193.281685,193.2468466,193.281685,193.164756,193.2853892,172.0323611,28.84495704,193.2974282,193.164756,193.281685
193.2789454,193.2441778,193.2789454,193.160776,193.2826422,172.0803009,28.88202178,193.2946567,193.160776,193.2789454
193.2833821,193.2486807,193.2833821,193.1571087,193.2870718,172.0836013,28.8846733,193.2995533,193.1571087,193.2833821
